fold,seed,block,cond_cross,test_IDSURVEY,N_test,N_train,zHD_min_test,zHD_max_test,t_anchor_train_gyr,H0_baseline,Om_baseline,alpha_baseline,H0_lta,Om_lta,alpha_lta,s_anchor,gC,gL,chi2_test_marg_baseline,chi2_test_marg_lta,dchi2_test_marg,chi2_test_margdiag_baseline,chi2_test_margdiag_lta,dchi2_test_margdiag,chi2_test_cond_baseline,chi2_test_cond_lta,dchi2_test_cond,cond_var_shrink,cond_logdet,cond_jitter_used,corr_max_abs_VT,corr_mean_abs_VT,corr_mean_abs_VV_offdiag,cond_gain_baseline,cond_gain_lta,cond_gain_diff,cond_cross_scale,cond_med_abs_corr_train_cross,cond_med_abs_corr_vt_cross,nll_test_marg_baseline,nll_test_marg_lta,dnll_test_marg,nll_test_cond_baseline,nll_test_cond_lta,dnll_test_cond
1,100,survey,full,18,1,353,0.02978,0.02978,0.6699934785575126,68.51650475566134,0.29966374970975224,0.9979050708573177,68.50974495027285,0.2997431385568621,0.9979126872210479,2.4563639805492508,1.0,1.0,0.6765508819434177,0.004148969429315379,0.6724019125141023,0.6765508819434177,0.004148969429315379,0.6724019125141023,0.00027258848559719916,0.03584274295286104,-0.03557015446726384,0.04720072263808328,-4.01702406748594,0.0,0.07966790109392202,0.042611765847929244,0.0,0.6762782934578205,-0.03169377352354566,0.7079720669813662,1.0,,,-3.2895041664010334,-3.922966285944279,0.6334621195432457,-4.0166152915820055,-3.978083133507625,-0.03853215807438026
2,100,survey,full,50,10,344,0.02391,0.07023,0.6740305949611148,68.51653401064263,0.2996621232960996,0.997925651232416,68.50887238236561,0.2997407084828922,0.9979294256440104,2.3624737949202688,1.0,1.0,14.112998424565832,6.956222188146477,7.156776236419355,16.659994065756084,7.164936517329142,9.495057548426942,7.210994610562078,6.059736045772597,1.1512585647894804,0.04063440558415943,-37.16563870713838,0.0,0.09403002990437982,0.03815408602368208,0.052024941819324516,6.902003814003755,0.8964861423738801,6.005517671629875,1.0,,,-22.997854478279393,-30.014570568081655,7.016716089802262,-29.955036240555966,-31.095221651484007,1.1401854109280407
3,100,survey,full,65,17,337,0.02453,0.07056,0.6699358391986738,68.51552117442806,0.29965972095673926,0.9979440727723532,68.50812987429379,0.2997378590227745,0.9979441403616686,2.4103947116853695,1.0,1.0,27.755126030440145,15.510141278356295,12.24498475208385,38.176302989131806,17.224191768555166,20.95211122057664,12.701111929629016,12.074097524976882,0.6270144046521349,0.09744317012473858,-68.52716408081675,0.0,0.5473916189965562,0.046477849213932734,0.04303068892668084,15.054014100811129,3.4360437533794137,11.617970347431715,1.0,,,-39.463260036914335,-51.211655036055774,11.74839499914144,-55.825234502041994,-56.44155733620602,0.6163228341640234
4,100,survey,full,51,14,340,0.02369,0.07056,0.6740491788348728,68.51465142057587,0.29965700349275814,0.9979607321307202,68.50745153122264,0.29973525418110797,0.9979574395433896,2.4678516583973056,1.0,1.0,22.709312761880852,15.179900918625977,7.529411843254875,25.284230314466257,14.21919068651572,11.065039627950537,12.066075706714134,12.144641989711973,-0.07856628299783885,0.10552019787772415,-54.9900036554251,0.0,0.4851635770343561,0.04471291696139747,0.03766221105004656,10.643237055166718,3.035258928914004,7.607978126252714,1.0,,,-30.799783153062915,-37.74714302350476,6.947359870441847,-42.922928162824,-42.83064083566781,-0.09228732715619259
5,100,survey,full,150,72,282,0.02344,0.09293,0.6700189314191639,68.51391430619785,0.2996538588701618,0.9979759312699702,68.50671284904192,0.2997331641033166,0.9979695551004781,2.8459733716179683,1.0,1.0,96.65510429880565,85.35610326475458,11.299001034051074,162.12031025002324,89.83300145982864,72.2873087901946,84.37470053412817,87.69185395499386,-3.3171534208656936,0.05509817208913226,-283.652947946705,0.0,0.13082117902122473,0.04748400394154084,0.056020334500017525,12.280403764677487,-2.33575069023928,14.616154454916767,1.0,,,-186.3424166726343,-196.04469820661234,9.702281533978038,-199.2747034528842,-196.23565183204383,-3.0390516208403824
6,100,survey,full,61,4,350,0.02913,0.0486,0.6700255020080441,68.51324551440896,0.2996513903658243,0.9979892278229803,68.50643895287001,0.2997294960295305,0.9979806430628549,2.3765085959507832,1.0,1.0,19.345613459473515,11.104030820351824,8.241582639121692,21.01969532168204,11.571092133742724,9.448603187939316,8.427596107038754,7.585977191395112,0.8416189156436422,0.05941848781747494,-16.476168799180577,0.0,0.11479453751421946,0.05147189651419582,0.03888127100498015,10.918017352434761,3.5180536289567117,7.3999637234780495,1.0,,,2.691521073100379,-5.684968997371925,8.376490070472304,-8.050100214669808,-8.896801574006204,0.8467013593363966
7,100,survey,full,15,20,334,0.03236,0.14778,0.6697611973978567,68.5127451435785,0.2996481029785708,0.9980010251885011,68.50604796647829,0.2997262135871747,0.9979903693736131,2.462877826520698,1.0,1.0,12.449303983862087,6.683165053328248,5.766138930533839,22.907267474488687,9.549807072414183,13.357460402074505,4.743399771502523,4.200716068257906,0.5426837032446175,0.04999416767968967,-78.9850965603846,0.0,0.11869275320159176,0.05094922968670165,0.06483978294373474,7.705904212359564,2.4824489850703424,5.223455227289222,1.0,,,-66.14834612887894,-71.61833435800851,5.469988229129569,-74.24159717106875,-74.72413194815948,0.4825347770907342
8,100,survey,full,66,2,352,0.03335,0.05316,0.6700344076574208,68.51234365411712,0.2996443786691548,0.9980118860747624,68.50589101161357,0.29972140722993806,0.9979987695099529,2.49280698411319,1.0,1.0,0.4143706121012429,0.17552212527078478,0.2388484868304581,0.4349071444197766,0.17963078403050753,0.2552763603892691,0.6287750426103136,1.0417398199599266,-0.412964777349613,0.06673393145127204,-8.17936549819866,0.0,0.11509317704974663,0.045559258395630554,0.03221940745191522,-0.2144044305090707,-0.8662176946891418,0.6518132641800711,1.0,,,-7.621419705333953,-7.813139897379852,0.1917201920458984,-7.550514582553913,-7.1373457222530945,-0.4131688603008188
9,100,survey,full,62,4,350,0.02691,0.03707,0.6700379857473993,68.51198191375602,0.2996410818429858,0.9980215962533326,68.50567862651596,0.2997179299447886,0.9980068556826943,2.407359145285351,1.0,1.0,14.409414720762118,9.065229407102258,5.34418531365986,15.188755950777901,9.021270792777512,6.167485158000389,9.352147045325493,8.797006797547263,0.5551402477782297,0.06834807446759106,-16.048133132553062,0.0,0.28340491316536964,0.049134984653755445,0.03703919804328741,5.057267675436625,0.26822260955499466,4.789045065881631,1.0,,,-1.5246821351053743,-6.785868482341012,5.261186347235638,-6.696134475084243,-7.248983868816005,0.552849393731762
10,100,survey,full,1,37,317,0.06654,0.14898,0.6686825642260649,68.5115500077745,0.2996384071898734,0.9980315702470475,68.50377900539722,0.29973002952768957,0.9980160529390931,3.2617209798125697,1.0,1.0,35.6974024167452,23.61605675800226,12.08134565874294,74.39240496761758,36.28741378807469,38.10499117954289,20.47384450757585,29.76918982988026,-9.29534532230441,0.04604359072493902,-148.65570793949493,0.0,0.13119594301399823,0.04610972322067723,0.05580376181211507,15.223557909169347,-6.153133071878003,21.37669098104735,1.0,,,-113.37097897382051,-124.72116569307163,11.350186719251113,-128.1840766047651,-120.59955433449257,-7.5845222702725295
11,100,survey,full,56,8,346,0.02343,0.02947,0.6740825421769558,68.51128734001549,0.29963554324737907,0.9980392244401778,68.50525038760087,0.29971209325457926,0.9980213249534627,2.295590421950174,1.0,1.0,24.87308477332127,16.00833212885221,8.86475264446906,28.88602713009882,17.773982884857492,11.112044245241329,15.266425442845136,13.604069004034745,1.6623564388103915,0.090269893588518,-25.702718379657703,0.0,0.607712973646879,0.0320249013065471,0.03289069548405502,9.606659330476134,2.404263124817465,7.202396205658669,1.0,,,-0.4672061554194613,-9.809649898983603,9.342443743564141,-10.439083332016835,-12.137923115376422,1.6988397833595865
12,100,survey,full,64,25,329,0.02357,0.06533,0.674084694510072,68.51107223161151,0.29963264669444334,0.9980462002981263,68.50503844614224,0.29970987287481754,0.9980267879607154,2.420540806448851,1.0,1.0,45.6159807814997,29.990809990081246,15.625170791418455,68.87949741654162,32.45542096415286,36.42407645238877,21.020316618896214,20.39529414074967,0.6250224781465441,0.2131065314898113,-107.1053549869205,0.0,0.6755465249471947,0.05183261441874184,0.05134006043085958,24.595664162603487,9.595515849331576,15.000148313271911,1.0,,,-57.90390865973353,-72.4353846321608,14.531475972427273,-86.08693167310585,-86.67938716439274,0.5924554912868842
13,100,survey,full,5,27,327,0.02343,0.08009,0.6700475299144439,68.51102190676671,0.29962838927130403,0.9980524278265723,68.50528632518669,0.29970292895309114,0.998031834750754,2.4533440130940836,1.0,1.0,39.65577690051254,28.57957753459098,11.07619936592156,53.47214626301725,27.364837300962662,26.10730896205459,22.9749799371538,22.538818053824258,0.4361618833295431,0.1793476705332454,-118.48926442197768,0.0,0.570781400098029,0.05205884945672265,0.06325610488870351,16.68079696335874,6.040759480766724,10.640037482592017,1.0,,,-74.58321453951639,-84.72966292558868,10.146448386072294,-95.51205099694238,-95.91700111062396,0.4049501136815792
14,100,survey,full,63,10,344,0.0251,0.05886,0.670047627132954,68.51101753905104,0.2996239347758642,0.9980582124102504,68.50522613748501,0.29969980502959404,0.9980364142772155,2.5253476836590965,1.0,1.0,7.71529079989872,3.2713914018957264,4.443899398002994,9.340442299455491,3.066126966492648,6.274315332962843,4.334116857363858,5.0648641712560485,-0.7307473138921905,0.13428166546224674,-40.0390275668002,0.0,0.7157557842130666,0.046834432289586024,0.041320114627504595,3.381173942534862,-1.793472769360322,5.174646711895184,1.0,,,-30.867653512660375,-34.909450099130815,4.04179658647044,-35.70476076073474,-34.97873850687476,-0.7260222538599805
15,100,survey,full,57,26,328,0.02352,0.04056,0.6720661999598408,68.51105224490259,0.2996193388826009,0.9980635868161116,68.50519769534169,0.29969624872834555,0.998040626228979,2.685239339627761,1.0,1.0,28.09465834110128,17.95661771816616,10.138040622935119,39.756095522033036,17.10640036021771,22.649695161815327,14.997575276939779,17.321924752518743,-2.3243494755789644,0.1922648030352443,-108.6246751241207,0.0,0.7157557842130666,0.05021848676251029,0.04928307261684537,13.0970830641615,0.6346929656474174,12.462390098514083,1.0,,,-75.55125732531792,-84.50376680496427,8.952509479646352,-93.62659736782958,-91.40176203895841,-2.2248353288711655
